ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5008804,F,Y,Y,0,107436.35,Working,Secondary / secondary special,Married,House / apartment,-10014,-333,1,0,1,0,Laborers,2.0
5008805,M,N,Y,0,429404.39,Pensioner,Higher education,Married,With parents,-21067,365243,1,0,1,0,,2.0
5008806,M,Y,Y,0,338689.67,Pensioner,Secondary / secondary special,Married,House / apartment,-20066,365243,1,0,0,0,,2.0
5008807,F,N,N,1,212238.88,Working,Secondary / secondary special,Separated,House / apartment,-23529,-1467,1,0,0,0,Managers,2.0
5008808,F,N,Y,1,124052.73,Working,Secondary / secondary special,Widow,House / apartment,-11150,-1624,1,0,1,0,Accountants,2.0
5008809,F,Y,N,0,268421.78,Pensioner,Secondary / secondary special,Married,House / apartment,-14564,365243,1,0,1,0,,2.0
5008810,F,N,Y,0,83555.82,Commercial associate,Secondary / secondary special,Married,House / apartment,-12475,-1743,1,0,0,0,,2.0
5008811,M,N,N,2,252278.18,Working,Secondary / secondary special,Married,Municipal apartment,-11826,-522,1,1,0,1,,4.0
5008812,F,N,Y,0,234213.12,Pensioner,Higher education,Married,With parents,-18742,365243,1,0,0,0,,2.0
5008813,M,N,N,0,136533.75,Working,Secondary / secondary special,Married,House / apartment,-10179,-3287,1,0,1,0,Laborers,2.0
5008814,F,Y,N,0,260300.8,Working,Secondary / secondary special,Married,With parents,-15453,-2664,1,1,0,0,,2.0
5008815,M,Y,Y,3,117758.29,Commercial associate,Secondary / secondary special,Single / not married,With parents,-18641,-655,1,0,0,0,Sales staff,4.0
5008816,M,Y,N,1,78233.81,Commercial associate,Secondary / secondary special,Married,House / apartment,-9589,-763,1,0,0,0,Managers,3.0
5008817,F,N,N,1,240141.23,Working,Secondary / secondary special,Married,House / apartment,-11810,-4653,1,0,0,0,,3.0
5008818,F,N,Y,0,141121.79,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-24264,365243,1,0,0,0,,2.0
5008819,F,Y,Y,1,198966.21,Commercial associate,Secondary / secondary special,Married,House / apartment,-21250,-1781,1,0,0,0,Drivers,3.0
5008820,F,N,Y,0,366020.01,Commercial associate,Secondary / secondary special,Married,House / apartment,-19173,-281,1,0,1,0,Sales staff,2.0
5008821,F,N,N,1,102628.71,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-22311,-1180,1,1,0,0,Sales staff,2.0
5008822,F,N,Y,0,137078.67,Working,Higher education,Married,House / apartment,-7549,-730,1,0,1,0,Laborers,2.0
5008823,F,N,Y,0,322809.37,Pensioner,Secondary / secondary special,Married,House / apartment,-7411,365243,1,0,0,0,,2.0
5008824,F,N,Y,0,205739.45,Working,Higher education,Married,House / apartment,-10004,-720,1,0,1,1,Laborers,2.0
5008825,F,Y,Y,0,103788.31,State servant,Secondary / secondary special,Married,House / apartment,-15987,-6598,1,0,1,0,Private service staff,2.0
5008826,F,Y,N,1,91353.43,Working,Higher education,Civil marriage,House / apartment,-17297,-545,1,0,0,0,Sales staff,3.0
5008827,F,N,N,2,113092.31,Working,Secondary / secondary special,Married,House / apartment,-9298,-2556,1,0,1,0,Laborers,4.0
5008828,F,N,Y,0,101802.78,Working,Secondary / secondary special,Married,House / apartment,-8572,-993,1,0,0,0,Sales staff,2.0
5008829,M,N,Y,1,165822.64,Commercial associate,Higher education,Married,House / apartment,-21827,-3927,1,1,0,0,Core staff,3.0
5008830,F,Y,N,0,153156.76,Working,Higher education,Separated,House / apartment,-15448,-5621,1,1,0,0,Laborers,1.0
5008831,F,N,Y,1,169332.39,Commercial associate,Incomplete higher,Married,House / apartment,-24705,-1481,1,0,1,0,Medicine staff,3.0
5008832,F,Y,Y,1,96721.75,Pensioner,Secondary / secondary special,Married,House / apartment,-11325,365243,1,0,0,0,,3.0
5008833,F,N,Y,1,142142.17,Working,Secondary / secondary special,Separated,With parents,-18651,-367,1,0,0,1,Laborers,2.0
5008834,F,N,Y,0,52688.37,Working,Secondary / secondary special,Separated,House / apartment,-21407,-2681,1,0,0,0,Managers,1.0
5008835,F,N,Y,0,158340.52,Pensioner,Secondary / secondary special,Married,House / apartment,-22604,365243,1,0,1,0,,2.0
5008836,F,Y,N,1,265062.34,Working,Incomplete higher,Married,House / apartment,-12675,-3912,1,0,0,0,Laborers,3.0
5008837,M,N,Y,0,72231.18,Working,Secondary / secondary special,Married,House / apartment,-10693,-1081,1,0,0,0,,2.0
5008838,M,Y,N,1,187533.75,Working,Higher education,Married,House / apartment,-11268,-1107,1,0,0,0,Core staff,3.0
5008839,M,N,Y,2,108498.63,Working,Secondary / secondary special,Married,House / apartment,-18994,-499,1,0,0,0,Laborers,4.0
5008840,F,Y,Y,0,219970.91,Working,Secondary / secondary special,Married,House / apartment,-16462,-802,1,0,0,0,Accountants,2.0
5008841,F,Y,N,1,159424.18,Commercial associate,Secondary / secondary special,Married,House / apartment,-17806,-857,1,0,1,0,High skill tech staff,3.0
5008842,M,N,Y,1,180295.43,Working,Secondary / secondary special,Married,House / apartment,-7664,-370,1,1,1,0,,3.0
5008843,F,Y,Y,0,152118.02,Pensioner,Secondary / secondary special,Separated,House / apartment,-14159,365243,1,0,0,0,,1.0
5008844,F,N,Y,0,286119.81,Working,Secondary / secondary special,Married,House / apartment,-12742,-813,1,0,0,0,,2.0
5008845,F,N,Y,1,175203.82,Pensioner,Secondary / secondary special,Married,House / apartment,-22448,365243,1,0,0,1,,3.0
5008846,F,N,N,0,103495.99,Working,Secondary / secondary special,Widow,House / apartment,-20914,-862,1,0,0,0,Laborers,1.0
5008847,M,N,Y,0,154717.71,State servant,Higher education,Married,With parents,-14836,-703,1,0,0,0,Managers,2.0
5008848,F,Y,N,1,122462.42,Commercial associate,Secondary / secondary special,Married,House / apartment,-18359,-1064,1,0,1,0,Core staff,3.0
5008849,F,Y,Y,0,159723.58,Working,Secondary / secondary special,Married,House / apartment,-8140,-1461,1,0,0,1,Sales staff,2.0
5008850,F,N,Y,1,119385.75,Working,Secondary / secondary special,Married,House / apartment,-18477,-3169,1,1,1,0,Sales staff,3.0
5008851,F,N,N,0,104987.3,Working,Higher education,Married,House / apartment,-9009,-493,1,1,1,0,Managers,2.0
5008852,F,Y,N,0,162695.58,Working,Secondary / secondary special,Married,House / apartment,-19823,-3060,1,0,0,0,Core staff,2.0
5008853,F,Y,Y,2,151432.43,Commercial associate,Incomplete higher,Married,House / apartment,-17365,-3185,1,0,1,0,,4.0
5008854,M,N,Y,0,250691.39,Working,Secondary / secondary special,Married,House / apartment,-12573,-5844,1,0,0,0,Managers,2.0
5008855,M,Y,Y,1,119673.45,State servant,Secondary / secondary special,Married,House / apartment,-13806,-4859,1,0,0,0,Core staff,3.0
5008856,M,N,Y,1,54697.49,Working,Secondary / secondary special,Married,House / apartment,-8884,-219,1,0,0,0,,3.0
5008857,M,N,N,1,122769.59,Pensioner,Secondary / secondary special,Married,House / apartment,-12964,365243,1,1,0,0,,3.0
5008858,F,Y,N,0,65302.44,Pensioner,Secondary / secondary special,Married,House / apartment,-24255,365243,1,0,1,0,,2.0
5008859,M,N,Y,0,181286.87,Working,Secondary / secondary special,Separated,House / apartment,-15828,-2660,1,1,0,0,Sales staff,1.0
5008860,F,N,N,1,63770.82,State servant,Secondary / secondary special,Married,With parents,-15619,-7945,1,1,0,0,Core staff,3.0
5008861,F,N,Y,0,89842.59,Pensioner,Secondary / secondary special,Married,House / apartment,-18336,365243,1,0,0,0,,2.0
5008862,F,Y,Y,0,122863.93,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-15798,-195,1,0,0,0,Sales staff,1.0
5008863,F,Y,Y,0,318690.38,Commercial associate,Higher education,Married,House / apartment,-13537,-1006,1,0,1,0,Laborers,2.0
5008864,F,N,N,0,86124.99,State servant,Secondary / secondary special,Single / not married,House / apartment,-9751,-1485,1,0,1,0,,1.0
5008865,F,N,N,1,148182.88,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-18355,-1168,1,0,0,0,High skill tech staff,2.0
5008866,M,N,Y,1,196808.86,Working,Secondary / secondary special,Married,House / apartment,-20435,-1333,1,0,0,0,High skill tech staff,3.0
5008867,F,N,Y,4,309288.65,Pensioner,Secondary / secondary special,Single / not married,Co-op apartment,-23488,365243,1,0,1,0,,5.0
5008868,F,N,N,0,217270.28,Commercial associate,Higher education,Married,House / apartment,-7357,-730,1,0,1,0,High skill tech staff,2.0
5008869,F,Y,Y,1,254473.88,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-8473,-1826,1,1,0,1,Sales staff,2.0
5008870,F,N,Y,0,226874.78,Pensioner,Secondary / secondary special,Married,House / apartment,-23073,365243,1,0,0,0,,2.0
5008871,M,N,N,0,80453.81,Working,Secondary / secondary special,Married,House / apartment,-18370,-2924,1,0,0,0,Managers,2.0
5008872,F,N,N,0,176283.02,Pensioner,Secondary / secondary special,Separated,House / apartment,-24099,365243,1,1,0,0,,1.0
5008873,M,N,Y,2,225106.85,Commercial associate,Higher education,Married,House / apartment,-14858,-4674,1,0,0,0,,4.0
5008874,M,Y,Y,1,91285.74,Commercial associate,Secondary / secondary special,Separated,House / apartment,-14610,-214,1,1,0,0,Core staff,2.0
5008875,F,N,Y,2,110207.48,Working,Incomplete higher,Married,House / apartment,-13340,-339,1,0,1,0,Accountants,4.0
5008876,F,N,Y,1,98558.33,State servant,Academic degree,Married,House / apartment,-9808,-2922,1,1,0,0,Laborers,3.0
5008877,M,N,N,1,216709.17,Commercial associate,Higher education,Married,House / apartment,-13943,-1834,1,1,0,0,Drivers,3.0
5008878,M,N,Y,0,142252.57,Commercial associate,Secondary / secondary special,Married,House / apartment,-7561,-380,1,0,1,0,Laborers,2.0
5008879,M,N,N,1,125439.27,State servant,Secondary / secondary special,Married,House / apartment,-16234,-6528,1,0,0,0,Laborers,3.0
5008880,M,N,Y,0,77587.77,Pensioner,Secondary / secondary special,Married,House / apartment,-22158,365243,1,0,1,0,,2.0
5008881,F,N,Y,0,142386.84,Working,Incomplete higher,Married,House / apartment,-12936,-4673,1,0,1,0,Drivers,2.0
5008882,F,N,Y,0,110880.22,State servant,Secondary / secondary special,Single / not married,House / apartment,-8964,-597,1,1,1,0,Laborers,1.0
5008883,F,N,N,0,166320.14,Commercial associate,Higher education,Married,House / apartment,-24376,-1145,1,0,0,0,Core staff,2.0
5008884,M,N,Y,0,83159.56,Working,Incomplete higher,Civil marriage,House / apartment,-9566,-1897,1,0,0,1,Managers,2.0
5008885,F,Y,Y,0,160966.75,Working,Higher education,Married,House / apartment,-16574,-9861,1,0,0,0,,2.0
5008886,F,N,Y,0,118246.25,Working,Secondary / secondary special,Married,House / apartment,-21491,-6851,1,0,0,0,Laborers,2.0
5008887,F,N,Y,2,78853.86,Commercial associate,Secondary / secondary special,Married,House / apartment,-11729,-5113,1,0,0,1,Drivers,4.0
