ID,MONTHS_BALANCE,STATUS
5012193,-54,C
5012193,-47,C
5012193,-41,C
5012193,-37,0
5012193,-32,C
5012193,-28,C
5012193,-25,C
5012193,-19,C
5012193,-18,0
5012193,-7,0
5012193,-6,0
5012193,-4,X
5012193,-1,C
5010285,-36,C
5010285,-35,C
5010285,-17,X
5010285,-15,C
5010285,-5,0
5010285,-1,C
5013831,-59,C
5013831,-58,C
5013831,-54,0
5013831,-52,C
5013831,-44,0
5013831,-43,X
5013831,-42,C
5013831,-40,C
5013831,-35,0
5013831,-32,X
5013831,-31,C
5013831,-29,0
5013831,-28,X
5013831,-27,C
5013831,-23,0
5013831,-20,C
5013831,-19,C
5013831,-16,C
5013831,-14,0
5013831,-12,0
5013831,-11,C
5013831,-10,C
5013831,-7,0
5013831,-6,C
5013831,-5,0
5013831,-4,0
5013831,0,0
5012020,-60,X
5012020,-59,C
5012020,-58,0
5012020,-57,C
5012020,-55,0
5012020,-54,0
5012020,-53,0
5012020,-46,X
5012020,-44,C
5012020,-43,C
5012020,-42,X
5012020,-40,0
5012020,-37,C
5012020,-32,0
5012020,-24,C
5012020,-23,C
5012020,-17,C
5012020,-15,C
5012020,-13,0
5012020,-10,C
5012020,-8,C
5012020,-5,0
5012020,-4,0
5012020,-2,0
5012020,0,C
5009105,-54,C
5009105,-46,C
5009105,-42,C
5009105,-21,C
5009105,-15,0
5009105,-9,0
5009105,-5,C
5009937,-59,0
5009937,-58,0
5009937,-44,C
5009937,-28,0
5009937,-26,0
5009937,-25,0
5009937,-5,C
5009349,-58,C
5009349,-57,X
5009349,-45,0
5009349,-28,C
5009349,-26,X
5009349,-22,X
5009349,-18,X
5009349,-16,0
5009349,-14,C
5009349,-7,C
5009349,-6,C
5009349,-2,C
5010711,-59,C
5010711,-57,0
5010711,-56,C
5010711,-54,C
5010711,-52,C
5010711,-49,C
5010711,-47,C
5010711,-45,X
5010711,-41,C
5010711,-36,0
5010711,-35,C
5010711,-34,C
5010711,-32,C
5010711,-30,0
5010711,-25,0
5010711,-24,0
5010711,-22,X
5010711,-21,0
5010711,-20,C
5010711,-16,X
5010711,-15,0
5010711,-12,0
5010711,-11,X
5010711,-10,C
5010711,-9,C
5010711,-8,C
5010711,-7,X
5010711,-4,0
5010711,-3,0
5010711,-1,C
5012331,-60,0
5012331,-56,X
5012331,-55,C
5012331,-54,C
5012331,-50,C
5012331,-49,C
5012331,-43,C
5012331,-41,0
5012331,-38,0
5012331,-36,X
5012331,-35,0
5012331,-34,0
5012331,-32,C
5012331,-28,0
5012331,-27,X
5012331,-26,C
5012331,-24,0
5012331,-23,X
5012331,-22,0
5012331,-21,0
5012331,-18,C
5012331,-16,0
5012331,-13,C
5012331,-9,C
5012331,-7,0
5012331,-5,0
5012331,-4,0
5012331,-3,C
5012331,-2,0
5012331,-1,C
5012331,0,X
5011766,-59,0
5011766,-58,C
5011766,-57,C
5011766,-56,X
5011766,-55,0
5011766,-53,C
5011766,-52,C
5011766,-49,X
5011766,-48,X
5011766,-47,0
5011766,-46,C
5011766,-45,0
5011766,-44,0
5011766,-43,0
5011766,-42,X
5011766,-40,C
5011766,-39,C
5011766,-38,C
5011766,-37,C
5011766,-36,X
5011766,-35,C
5011766,-34,C
5011766,-33,X
5011766,-32,X
5011766,-31,C
5011766,-30,0
5011766,-29,C
5011766,-28,C
5011766,-26,X
5011766,-25,C
5011766,-24,X
5011766,-23,C
5011766,-22,C
5011766,-21,0
5011766,-20,0
5011766,-19,X
5011766,-18,C
5011766,-17,0
5011766,-16,X
5011766,-15,C
5011766,-14,C
5011766,-13,0
5011766,-11,C
5011766,-10,1
5011766,-9,0
5011766,-8,0
5011766,-7,C
5011766,-6,0
5011766,-5,C
5011766,-4,X
5011766,-3,C
5011766,-2,C
5011766,0,0
5012898,-55,C
5012898,-42,C
5012898,-39,C
5012898,-34,0
5012898,-19,0
5012898,-8,C
5012210,-53,C
5012210,-48,0
5012210,-47,0
5012210,-45,0
5012210,-43,0
5012210,-39,C
5012210,-38,C
5012210,-36,0
5012210,-32,C
5012210,-28,C
5012210,-26,C
5012210,-23,C
5012210,-22,X
5012210,-15,0
5012210,-10,C
5012210,-8,C
5012210,-1,C
5012210,0,0
5009858,-60,C
5009858,-53,C
5009858,-52,C
5009858,-51,0
5009858,-50,C
5009858,-49,C
5009858,-45,X
5009858,-41,C
5009858,-40,C
5009858,-39,X
5009858,-38,0
5009858,-37,C
5009858,-35,0
5009858,-33,0
5009858,-31,C
5009858,-30,0
5009858,-29,0
5009858,-28,C
5009858,-27,C
5009858,-25,C
5009858,-24,0
5009858,-23,0
5009858,-22,C
5009858,-21,C
5009858,-20,0
5009858,-19,C
5009858,-18,0
5009858,-17,0
5009858,-16,0
5009858,-15,C
5009858,-14,C
5009858,-13,0
5009858,-12,0
5009858,-10,C
5009858,-9,C
5009858,-8,0
5009858,-6,C
5009858,-5,0
5009858,-4,C
5009858,-3,C
5009858,-2,0
5009858,-1,0
5009858,0,0
5010672,-59,C
5010672,-58,0
5010672,-56,C
5010672,-55,X
5010672,-51,0
5010672,-50,0
5010672,-49,C
5010672,-48,C
5010672,-47,C
5010672,-43,X
5010672,-41,C
5010672,-39,X
5010672,-37,0
5010672,-35,0
5010672,-24,0
5010672,-19,C
5010672,-14,C
5010672,-10,0
5010672,-6,C
5010672,-4,C
5010672,0,0
5013745,-59,C
5013745,-58,C
5013745,-57,C
5013745,-55,X
5013745,-54,0
5013745,-53,C
5013745,-52,C
5013745,-51,C
5013745,-50,0
5013745,-49,0
5013745,-47,C
5013745,-46,0
5013745,-45,X
5013745,-44,X
5013745,-43,X
5013745,-42,C
5013745,-41,C
5013745,-39,X
5013745,-38,X
5013745,-37,C
5013745,-36,0
5013745,-35,C
5013745,-34,X
5013745,-33,C
5013745,-32,C
5013745,-31,X
5013745,-30,C
5013745,-29,0
5013745,-28,C
5013745,-26,C
5013745,-25,0
5013745,-22,0
5013745,-21,X
5013745,-20,X
5013745,-19,C
5013745,-18,0
5013745,-16,0
5013745,-15,0
5013745,-14,C
5013745,-13,0
5013745,-12,0
5013745,-10,0
5013745,-9,C
5013745,-8,0
5013745,-7,C
5013745,-6,C
5013745,-3,C
5013745,-2,0
5013745,-1,X
5013745,0,C
5011185,-58,C
5011185,-56,0
5011185,-51,C
5011185,-50,X
5011185,-48,0
5011185,-47,X
5011185,-43,0
5011185,-39,X
5011185,-36,0
5011185,-33,0
5011185,-20,0
5011185,-11,C
5011185,-3,C
5014297,-60,C
5014297,-59,C
5014297,-57,C
5014297,-56,X
5014297,-55,C
5014297,-54,X
5014297,-51,X
5014297,-47,C
5014297,-46,C
5014297,-44,0
5014297,-43,0
5014297,-39,0
5014297,-38,0
5014297,-37,X
5014297,-36,C
5014297,-35,0
5014297,-34,C
5014297,-31,X
5014297,-30,C
